,sentence_reviews,Score,Class
0,This is the first iPhone I hv bought ,5,Positive
1, It’s bit diff for me using this first first as for so many years I hv been using android,3,Positive
2, ,4,Positive
3, I am actually liking it ,4,Positive
4, The camera omg it’s really awesome ,5,Positive
5, like it feels classy using this ,5,Positive
6, Battery is also as of now good enough ,4,Positive
7, I am writing this review after using it for 40 days,5,Positive
8, if anyone is thinking of buying this pls go for it ,1,Negative
9, Thanks,5,Positive
10,Great device,5,Positive
11, Let me tell the Pros,5,Positive
12, Superb build quality 2,5,Positive
13, Great display,5,Positive
14, Camera is great in good lighting conditions 4,4,Positive
15, Processing is great,5,Positive
16, Sound is superb,5,Positive
17, Call quality is great,5,Positive
18, Red colour looks superb,5,Positive
19, Portrait mode photography is Superb,5,Positive
20,Who all loves older size i,5,Positive
21,", 4",4,Positive
22,7 inch type should definitely go for this,5,Positive
23,"  Nothing is better than XR, XS or 11",1,Negative
24, Best for price and usage,4,Positive
25,Can be surely preferred as your first iphone Value for money Some what battery is not sufficient ,3,Positive
26, as we already know about the batteries of iphone Camera is up to mark ,4,Positive
27, there is insufficiency of night mode wideangle mode ,2,Negative
28, that’s ok its not a big deal Display performance is good enough Overall lookup is impressive and off course attractive Speakers are mind blowing dual speaker setup which is quite loud compared to others At this price range this phone is best if you are intere,3,Positive
29,Great camera for pics and videos Battery life is good so far with some setting turn of which i never use and when i use i turn those on and i use it in power saving mode all the time so a full day with light gaming of 1hr or more using camera for 1hr or more listening music in my car on youtube and Bluetooth on for couple of hours it gives me full day of battery varing from 4/5 to 6/7 hours sot per dayPerformance is top notch plays every game and every task with easeVery premium phone look,5,Positive
30,One of Best phone in 2020,5,Positive
31,Excellent Camera and Performance,5,Positive
32,battery also good without Games,4,Positive
33,Thanks u Flipkart Best offer and fastest delivery ,5,Positive
34,This iPhone SE is the best phone ever you get,5,Positive
35, Beautifully designed gives a classy look in your palms,5,Positive
36," Moreover, performance wise it is a benchmark",4,Positive
37, You will not be disappointed in this budget,5,Positive
38, My purchase point was its size,5,Positive
39, If you are looking for the same you won’t be disappointed,4,Positive
40, I strongly recommend this phone to people who is more work oriented,5,Positive
41, Game loves should skip this phone as this is not a game phone,1,Negative
42, Best features with stunning looks & performance,5,Positive
43, Battery life is very good,5,Positive
44,Mobile is very handy,5,Positive
45, Packed with good performances and nice camera,4,Positive
46, This is my first iPhone,5,Positive
47, Very good experience with Apple,5,Positive
48, Battery is worst,1,Negative
49, I am hardly getting 5 hours screen on time,2,Negative
50,  Positive thing is I came to know how many hours I was spending on my mobile,4,Positive
51, Because of poor battery now I am only using mobile for 4 hours a day,2,Negative
52,This is my second iphone after iphone 4s,5,Positive
53, I’ve been a long time android user in between,5,Positive
54, I’ll tell you who this phone is for,5,Positive
55, Prospective buyers can then decide1,3,Positive
56, For photo and video enthusiasts,4,Positive
57, Very reliable camera,5,Positive
58, Fast and excellent picture quality,5,Positive
59, Videos are absolutely stable and professional quality,5,Positive
60, You would be amazed how many people shoot Youtube videos on an iPhone,2,Negative
61, The only downside is that the display doesn’t do justice to the photos and videos you have taken,3,Positive
62, Night photos are ,4,Positive
63,"Totally worth the price if:- you are a iOS fan- like compact phone- want to switch from android to iPhone- you like clicking some good photos (camera is unbeatable)- you multitask (normal phones get stuck between apps, this will keep you going without a hiatus (lag)- you like to listen to music (have 2 speakers, one on the front, and another below; when I watch a movie with 4d-5d music, it feels like Dolby atmos)There a lot a technical advantages too which I dont want to get into (yo",4,Positive
64,As always compact and handy ,5,Positive
65, with good image stability 4K gives amazing experience Battery capacity is little poor ,4,Positive
66, it’s worth buying on this budget,4,Positive
67,4/5 my rating,4,Positive
68,This is a beast,5,Positive
69, Smaller yet powerful,4,Positive
70, Sleek design and a Beauty,5,Positive
71,I will give straight reason for:Why to buy?1,5,Positive
72, If you want an iPhone2,3,Positive
73, If this is your first one3,3,Positive
74, If you want a small screen phone just for working purpose no entertainment4,3,Positive
75, If you have another phone as backup5,3,Positive
76, If you have other apple products and you want to pair this up as your latest purchase,5,Positive
77, If you have a decent 42k to spend without any second thought,3,Positive
78,Why not to buy?1,1,Negative
79," Battery drain, and low battery capacity",2,Negative
80,"I have Purchased The new Iphone SE 2020 on 20th May 2020, So based on my usage for a week I can rate the product as follows* Pros: 1) Display quality seems to be very good",4,Positive
81,"              2) Camera quality is excellent , takes a very sharp images without any blurriness",5,Positive
82,              3) Touch sensor works very precisely              4) Durability of the phone is good as the quality of body is made of 6000K aluminum which is one of the most durable aluminum in the mobile-industry           ,4,Positive
83,If you are going to use apple for first time then you will be amazed,3,Positive
84, Performance wise this phone is ultra first,5,Positive
85," Camera is also pretty good, attached images were taken indoor only",4,Positive
86, Display is also quite good,4,Positive
87, The BEST thing about this phone is it’s size,5,Positive
88, So easy to use this phone singe handedly,5,Positive
89, Excellent grip,5,Positive
90, Fits very crisply in pockets,4,Positive
91,The worst thing is it’s battery,1,Negative
92, Doesn’t last long,2,Negative
93, Better to have a power bank to avoid sudden switch off,3,Positive
94,People talk about it’s battery backup?? man I’m in love with this handset,5,Positive
95," So clean, so smooth",5,Positive
96, Smoother than xr if you’ve used both you’ll understand,5,Positive
97, Camera better than xr,5,Positive
98, Battery of xr is better ,3,Positive
99," still I’ll vote for se because of A13 Bionic chip, touch haptics and many more reasons",3,Positive
100, Its a beast in this segment,5,Positive
101, Still I want you all to feel this beast in your hand,5,Positive
102," Sexy as it looks, just a perfect masterpiece",5,Positive
103,iPhone SE 2020 Looks premium😍 Battery:-Most of the people think it’s only 1800 mAh battery???? Is it sufficient??🧐After 8 days of usage ,3,Positive
104,! in 100%chargeI have played lots of game especially pubg3Hrs of pubg with fully charge6Hrs of Heavy usages also played 1Hrs of pubg14Hrs with normal usage like ,5,Positive
105,",movie,what app,Fb,Instagram and Twitter and callCharging time:- takes more than 2",5,Positive
106,5hrs with box charger and with 12w 1,5,Positive
107,"50Hrs Performance:- Same like iPhone 11,11pro,11pro max (A13bionic",5,Positive
108,Keep the battery aside and I don’t see any other reason why you shouldn’t buy it,1,Negative
109," It’s super fast, has an awesome pair of camera, punchy speaker, good looks, beautiful screen, perfect size and an amazing user experience",5,Positive
110, Everything about this phone is no nonsense,1,Negative
111,"Coming to battery, I was aware it was less ",3,Positive
112," I didn’t care because for my casual usage, it easily lasts 24hours",3,Positive
113," It easily gives an onscreen time of 4 hours per day and if you are using your phone for more than that, you know you",3,Positive
114,Camera is best,5,Positive
115, Mobile performance is good,4,Positive
116,7 inch display phone is handy phone,4,Positive
117, Battery capacity is not good ,1,Negative
118, in this range phone is good ,4,Positive
119, Dual sim phone and one sim slot supported eSim,5,Positive
120," Better series in iPhone is X ,XS ,XR and 11",3,Positive
121, Software iOS 14,4,Positive
122,3 is latest,5,Positive
123,best compact phone i ever have,5,Positive
124,It has pretty good camera and performance,4,Positive
125,I have iphone 11pro ,5,Positive
126, now i fall in love with this phone,5,Positive
127,Best phone👍👍,5,Positive
128,Go for it if u love small size phone👍👍👍,4,Positive
129,My first iPhone and very happy with it,5,Positive
130, Slick and gorgeous design with perfect compact mobile,5,Positive
131," Performance is so amazing ,display softness more than 5 *",5,Positive
132, Little bit battery issues for fast drains like need to charge once in a 12 hours,3,Positive
133, May be this will solve out in next update,3,Positive
134, Definitely worth to buy than other brands,5,Positive
135,One word,1,Negative
136, beautiful iphone ❤️ premium feelJust go for it without any doubt,5,Positive
137," Superb camera, handy, white color is soo good",5,Positive
138, This phone is for someone who don't like big screen phones,5,Positive
139,Let's face it,5,Positive
