,Unnamed: 0,Review Title,Review Text,Score,Class
0,0,Just wow!,"Absolutely worth for money. Battery life : Excellent battery life and pretty good charging speed. Chipset : SD860 is doing it's work. Amazing performance. Can't even imagine how did they brought a flagship chip into this price range.🤯Camera : Good camera for this price range.Display : Amoled display would have been great still 120hz is smooth although there's lack of depth in colours and when this mobile was tested with OP NORD aside, not looking great though.Software : I think tha...",4,Positive
1,1,Best in the market!,Just Amazing  Battery life : Excellent Battery Life And Charging speed is so good. Chipset : SNAPDRAGON 860 is Just Amazing at this Price Range. Camera : Good camera at this price but it needs some improvement. Display : 120 HZ Display.... SO SMOOTH.... Performance : Performance is speechless 🔥     JUST GO FOR IT 🔥,4,Positive
2,2,Very Good,"Nice phone in this budget, Liquidcool technology, cools down too fast. Good camera, nice battery, Good display, Very good performance. A big heavy due to battery but its okay causeBattery backup is good. Just go for it, You won't regret.",4,Positive
3,3,Fabulous!,"Nice phone at this price segment, 🚴三 fast and snapyJust missing Super AMOLED display, else it's super",4,Positive
4,4,Highly recommended,"Ohk so I ordered it on 13th JulyGot delivered on 17th July..In brief, the Device is excellent in performance..Ram management is good even it has miui.. worst ui.. still good Ram management.Camera 4/5Battery 5/5Display 4/5Performance 5/5For Gamers, I've done extreme test on this device...Smooth Extreme Sanhok Bootcamp 58 avg fpsHDR Extreme Sanhok Bootcamp 59 avg fpsAs it has 120hz panel, by using config, i unlocked 90 fps..Smooth 90 FPS Sanhok Bootcamp 82 avg fpsHDR 90 FPS Sanhok...",2,Negative
5,5,Super!,Simply awesome device. Performance of this mobile is mind blowing. I'm playing pubg in Ultra HD with extreme smoothness. And I have seen in most of the reviews that the camera quality was bad. So that attaching the photos that I captured on my mobile Poco X3 Pro and added a little adjustments. So that you can decide whether it is good or bad.        You feels like that you're in a mini theatre with these loud stereo speakers. Mobile design also looking good other than in the website or app. ...,5,Positive
6,6,Just wow!,"Those who are gonna buy this X3P knows very much about pros n cons of the device, I will not waste your n mine time in writing it. Instead I will share my experience of past 1 week with this X3P.1> First of all I want to clarify that don't compare this device to redmi note 10 series... Both the phones are targeted to different audience. 2> DISPLAY, I would say it's very nice display regarding the price at which you get it with SD860.Yeah I missed the deeper blacks and punchier colours of ...",3,Positive
7,7,Fabulous!,This mobile is easy to feel the power of 120 hz display and the processor also help to speed up process. The only problem is the battery drain quickly. The mobile is always  warm and you feel heat in your hand but the update only fix this issue. I already used poco X3.Poco x3 is slower than this but the battery backup is awesome and the mobile don't get heat for normal usage.So you are a Gamer choose this one but the battery last only 4hrs on heavy game like pubg and cod.you are normal u...,4,Positive
8,8,Simply awesome,"Great performance, superb battery, great display, premium look, stock camera is average but works wonders on installing google camera, overall best phone in this price range, the network speed has some issues which needs to be resolved",4,Positive
9,9,Good choice,"First & Foremost thanks Flipkart for safe & fast delivery, honestly receive the phone in well package fully satisfied with the delivery.My honest review about the phone 😊after using for 1 week. Performance is top notched due 2 Qualcom SD860 Chipset in this price segment no doubt. Battery backup also works good & lasts for a day even if we use continuously by playing games, watching videos,etc. Camera is average not up to the point. LCD display is good but not up to the point it should ...",5,Positive
10,10,Terrific purchase,Love this phone wow what a perfomance  nice camera pubg play very smooth+ extreme😍😍😍  battery backup was very good charge in 1hours.25 minutes  0% to 100% display was good camera was good i m loving with this phone i proud of that i choose good product ❤ gyes you can go with this ❤860 was the beast in this price range,5,Positive
11,11,Delightful,Unbeatable performance at this price range❣️Display is nice Camera give best photos G cam give good detailing📸Battery & charging department is also goodValue for money 💯💯,5,Positive
12,12,Must buy!,Got this beast today.. So happy with poco😍Amazing colour look so good. 120hz is awesome... U cant say it u can just feel it. Power of smoothness 😍I m in love with my poco😍Camera quality is also good . Bina Soche Buy karlo. 😍,5,Positive
13,13,Pretty good,Hey folks today it's my second day of the usage trust me guys the performance on this device is like butter just smooth AFU can definitely buy this for performance oriented purpose camera is average and battery is also good and descent on this device overall it's a great performance phone 👍👍,5,Positive
14,14,Delightful,Performance is to good 👍 . Camera is good but over surpness. And battery is good . Over all value of money . And it's a good phone.,4,Positive
15,15,Pretty good,Awesome performance Just like Flagship . processor is goodBut too  too too much HEATING ISSUES as well as fast charging is not so fast  who said camera is bad  indeed camera is best performance display everything awesome will edit after 1 month uses,4,Positive
16,16,Awesome,"Display is very nice and 120hz is smooth and sharp. Processes is best. Camera is average.Back vibration, so much when music is loud. But if you change the setting it is manageable. I like dual sterio spiker. This phone give fast charge with big battery and meny more feature. This phone is best under 20k.Absolutely worth of money.",4,Positive
17,17,Super!,It's processor is amazing which results in a smooth experience. Totally justifies its cost. Battery is powerful. Camera works fine. It's performance is best thanks to its processor. Extra 3k to get this processor is totally worth it. I loved it hopefully you will do too.,5,Positive
18,18,Highly recommended,excellent mobile. No lags..smooth display with 120 hz. display is not amoled but the screen quality is amazing. battery performance is superb and charging speed is also great. camera is good. photos have lot of details but video recording need to improve. stereo speakers are excellent,5,Positive
19,19,Very Good,"writing after one week1. Performance is best but little bit stuck due to MIUI 12,no matter it is 860 or 888 or 8888888 of 2050 if there is MIUI get ready for lag.2. Camera is not upto mark if you don't want to be insulted don't open it infront of others because people will judge by its price. 3. Display is good but brightness is not enough, previously i have redmi note 7 pro and that is brighter than this but this screen quality is good compare to note 7 pro 4.speaker is best just bes...",3,Positive
20,20,Really Nice,Phone processor is very good but speaker is very bad and aslo phone is very heavy. Battery backup awesome display good camera ok i will not say camera is awesome,3,Positive
21,21,Super!,Superb excellent fantastic amazing fabulous... Can't find words to express the feeling of penning this phone.,5,Positive
22,22,Perfect product!,"Awesome,👌Very nice quality at mid price smart phone, camera quality also too much surprised, just wow, image captured at different time and location, for the speed, quality and processor of this phone you can't compared to others mid price smart phone ,Came nicely packed but little bit late delivery ,  Never I think delivery was affected due to pandemic ,Just little bit disappointed ( but considerable) with two thing .One this is that the battery consumption and second one is mobile wei...",4,Positive
23,23,Terrible product,Been using it for > 1 month. In call proximity sensor doesnt work. Suddenly call goes on hold or goes to speaker mode due to face contact. To end call i have to click on end 3 times as it keeps jumping up and down. After applying tempered glass the touch response is pathetic. To scroll need to try multiple times as it wont detect scroll action on 1st attempt. Poco f1 was notches better in such simple things. Apart from processor its aa good as a Rs 5k phone. Pathetic.,1,Negative
24,24,Just wow!,"Great Product. Just Completed 3 Months using it and it works freakishly smooth. Gaming Experience is the best. Great Speaker & Sensors. It's like I lucked out by buying this Phone. A bit on the heavier side but other than that the processor and sensors balance it out with performance. Some say the Camera is not up to the mark but I would like to differ with them, I really liked the Camera Quality. 120 Hz refresh rate really works like wonder and the Qualcomm Snapdragon 860 Processor doesn't l...",5,Positive
25,25,im just done with MIUI (POCO launcher),Cameras are below average i would say (don't buy if you care about pictures/photos quality)It do heat up but it has 860 powerful SOC (also it's summer)  Not totally ad-free POCO might enable it in near futurePOCO also can install some apps via OTA updates (just like they did with POCO F1)Great phone for gamers (if they don't care much about privacy/DATA protection and bug/glitchy free UI experience)Battery is great actually and ram management is better than POCO F1 ( i am not gamer but a...,3,Positive
26,26,Not good,My 1month review:Lagging too much while gaming  and overheating makes the game more choppy and lagging....  Good for low end gaming not the best in market...   Don't buy this phone trust me. I feel very bad of buying this phone... I'm a gamer I've bought this mobile by seeing youtubers.  All the YouTube's are not genuine..  Don't trust youtubers..,2,Negative
27,27,Utterly Disappointed,"Not worth the hype!! Used it for 2 weeks. Firstly, flipkart took 1 week to deliver, which is crazy. Secondly, about the phone, it is really heavy, cameras are average, fast charger doesn't work as claimed, takes about 1 hours 45 minutes to fully charge from zero as opposed to 1 hour claim by the company. Really disappointing.Battery performance is also average. 4.5 hours of screen time only!! Screen is good but I felt it becoming in unresponsive so many times, may be due to the wet finge...",2,Negative
28,28,Nice product,HONEST REVIEW OF POCO X3 PROBroooo ... I just ordered it for pubg... And it's good for it too but .. THERE ARE HEATING ISSUES..IT GETS HEATED UP ONLY IN 1 TO 2 TDM MATCHES...SO IF YOU ARE A GAMER WHO PLAY FOR HOURS...YOU SHOULD DEFINITELY NOT GO FOR IT... ELSE EVERYTHING IS FINE... IT SUPPORTS ULTRA HD+ULTRA IN PUBG...NOW WHAT EXTRA DO WE NEED..??ALSO THERE IS ONE ISSUE WHICH FACED THAT IS IT'S SIM CARD TRAY IS NOT GETTING OUT EASILY....MEANS YOU NEED TO HAVE LONG NAILS AND MUCH FORCE...,3,Positive
