,Unnamed: 0,sentence_reviews,Score,Class
0,0,Absolutely worth for money,5,Positive
1,1, Battery life : Excellent battery life and pretty good charging speed,5,Positive
2,2, Chipset : SD860 is doing it's work,4,Positive
3,3, Amazing performance,5,Positive
4,4, Can't even imagine how did they brought a flagship chip into this price range,5,Positive
5,5,🤯Camera : Good camera for this price range,4,Positive
6,6,Display : Amoled display would have been great still 120hz is smooth although there's lack of depth in colours and when this mobile was tested with OP NORD aside,3,Positive
7,7, not looking great though,2,Negative
8,8,Software : I think tha,3,Positive
9,9,Just Amazing  Battery life : Excellent Battery Life And Charging speed is so good,5,Positive
10,10, Chipset : SNAPDRAGON 860 is Just Amazing at this Price Range,5,Positive
11,11, Camera : Good camera at this price ,4,Positive
12,12, it needs some improvement,3,Positive
13,13, Display : 120 HZ Display,5,Positive
14,14, SO SMOOTH,5,Positive
15,15, Performance : Performance is speechless 🔥     JUST GO FOR IT 🔥,1,Negative
16,16,Nice phone in this budget,5,Positive
17,17, Liquidcool technology,5,Positive
18,18, cools down too fast,2,Negative
19,19, Good camera,4,Positive
20,20, nice battery,5,Positive
21,21, Good display,4,Positive
22,22, Very good performance,5,Positive
23,23, A big heavy due to battery ,3,Positive
24,24, its okay causeBattery backup is good,3,Positive
25,25, Just go for it,5,Positive
26,26, You won't regret,5,Positive
27,27,Nice phone at this price segment,5,Positive
28,28, 🚴三 fast and snapyJust missing Super AMOLED display,3,Positive
29,29, else it's super,4,Positive
30,30,Ohk so I ordered it on 13th JulyGot delivered on 17th July,3,Positive
31,31,In brief,4,Positive
32,32, the Device is excellent in performance,5,Positive
33,33,Ram management is good even it has miui,4,Positive
34,34, worst ui,1,Negative
35,35, still good Ram management,4,Positive
36,36,Camera 4/5Battery 5/5Display 4/5Performance 5/5For Gamers,5,Positive
37,37, I've done extreme test on this device,4,Positive
38,38,Smooth Extreme Sanhok Bootcamp 58 avg fpsHDR Extreme Sanhok Bootcamp 59 avg fpsAs it has 120hz panel,5,Positive
39,39, by using config,5,Positive
40,40, i unlocked 90 fps,1,Negative
41,41,Smooth 90 FPS Sanhok Bootcamp 82 avg fpsHDR 90 FPS Sanhok,5,Positive
42,42,Simply awesome device,5,Positive
43,43, Performance of this mobile is mind blowing,5,Positive
44,44, I'm playing pubg in Ultra HD with extreme smoothness,5,Positive
45,45, And I have seen in most of the reviews that the camera quality was bad,2,Negative
46,46, So that attaching the photos that I captured on my mobile Poco X3 Pro and added a little adjustments,4,Positive
47,47, So that you can decide whether it is good or bad,3,Positive
48,48,        You feels like that you're in a mini theatre with these loud stereo speakers,5,Positive
49,49, Mobile design also looking good other than in the website or app,4,Positive
50,50,Those who are gonna buy this X3P knows very much about pros n cons of the device,5,Positive
51,51, I will not waste your n mine time in writing it,1,Negative
52,52, Instead I will share my experience of past 1 week with this X3P,3,Positive
53,53,1> First of all I want to clarify that don't compare this device to redmi note 10 series,1,Negative
54,54, Both the phones are targeted to different audience,4,Positive
55,55, 2> DISPLAY,3,Positive
56,56, I would say it's very nice display regarding the price at which you get it with SD860,4,Positive
57,57,Yeah I missed the deeper blacks and punchier colours of ,3,Positive
58,58,This mobile is easy to feel the power of 120 hz display and the processor also help to speed up process,5,Positive
59,59, The only problem is the battery drain quickly,4,Positive
60,60, The mobile is always  warm and you feel heat in your hand ,5,Positive
61,61, the update only fix this issue,1,Negative
62,62, I already used poco X3,3,Positive
63,63,Poco x3 is slower than this ,2,Negative
64,64, the battery backup is awesome and the mobile don't get heat for normal usage,5,Positive
65,65,So you are a Gamer choose this one ,5,Positive
66,66, the battery last only 4hrs on heavy game like pubg and cod,2,Negative
67,67,you are normal u,3,Positive
68,68,Great performance,5,Positive
69,69, superb battery,5,Positive
70,70, great display,5,Positive
71,71, premium look,5,Positive
72,72, stock camera is average but works wonders on installing google camera,3,Positive
73,73, overall best phone in this price range,5,Positive
74,74, the network speed has some issues which needs to be resolved,3,Positive
75,75,First & Foremost thanks Flipkart for safe & fast delivery,5,Positive
76,76, honestly receive the phone in well package fully satisfied with the delivery,5,Positive
77,77,My honest review about the phone 😊after using for 1 week,5,Positive
78,78, Performance is top notched due 2 Qualcom SD860 Chipset in this price segment no doubt,5,Positive
79,79, Battery backup also works good & lasts for a day even if we use continuously by playing games,5,Positive
80,80, watching videos,4,Positive
81,81,etc,4,Positive
82,82, Camera is average not up to the point,3,Positive
83,83, LCD display is good ,4,Positive
84,84, not up to the point it should ,3,Positive
85,85,Love this phone wow what a perfomance  nice camera pubg play very smooth+ extreme😍😍😍  battery backup was very good charge in 1hours,5,Positive
86,86,25 minutes  0% to 100% display was good camera was good i m loving with this phone i proud of that i choose good product ❤ gyes you can go with this ❤860 was the beast in this price range,5,Positive
87,87,Unbeatable performance at this price range❣️Display is nice Camera give best photos G cam give good detailing📸Battery & charging department is also goodValue for money 💯💯,5,Positive
88,88,Got this beast today,5,Positive
89,89, So happy with poco😍Amazing colour look so good,5,Positive
90,90, 120hz is awesome,5,Positive
91,91, U cant say it u can just feel it,5,Positive
92,92, Power of smoothness 😍I m in love with my poco😍Camera quality is also good ,5,Positive
93,93, Bina Soche Buy karlo,5,Positive
94,94,Hey folks today it's my second day of the usage trust me guys the performance on this device is like ,5,Positive
95,95,ter just smooth AFU can definitely buy this for performance oriented purpose camera is average and battery is also good and descent on this device overall it's a great performance phone 👍👍,4,Positive
96,96,Performance is to good 👍 ,4,Positive
97,97, Camera is good ,4,Positive
98,98, over surpness,2,Negative
99,99, And battery is good ,4,Positive
100,100, Over all value of money ,5,Positive
101,101, And it's a good phone,4,Positive
102,102,Awesome performance Just like Flagship ,5,Positive
103,103, processor is goodBut too  too too much HEATING ISSUES as well as fast charging is not so fast  who said camera is bad  indeed camera is best performance display everything awesome will edit after 1 month uses,3,Positive
104,104,Display is very nice and 120hz is smooth and sharp,5,Positive
105,105, Processes is best,4,Positive
106,106, Camera is average,3,Positive
107,107,Back vibration,3,Positive
108,108, so much when music is loud,2,Negative
109,109, But if you change the setting it is manageable,3,Positive
110,110, I like dual sterio spiker,5,Positive
111,111, This phone give fast charge with big battery and meny more feature,5,Positive
